UNIQUE_ID,WORKER_UNIQUE_ID,CONTACT_TYPE,CONTACT_VALUE,PRIMARY_FLAG,EFFECTIVE_FROM,EFFECTIVE_TO
ed113fcf-f8bb-4037-bbb4-91d3b54a380a,8b3ab277-46d7-46d0-bd4d-a97aef322ead,EMAIL,cgarcia@example.net,Y,2021-10-21,2028-11-14
23144685-5750-4b96-a81d-06a68beb1e08,8b3ab277-46d7-46d0-bd4d-a97aef322ead,PHONE,+16512576198,N,2022-09-28,2028-01-11
d2385390-2d8c-466c-aec5-fa5700d031e8,8b3ab277-46d7-46d0-bd4d-a97aef322ead,EMAIL,mooremegan@example.com,N,2021-10-27,2029-12-20
d56ad1a6-5617-4d7c-9502-d18dcff85952,19e86dfb-802c-4cb4-a17d-3c84ccb15746,EMAIL,thernandez@example.net,Y,2020-10-14,2027-06-18
ed2c1e0e-e603-4675-8728-c683100c77bd,19e86dfb-802c-4cb4-a17d-3c84ccb15746,PHONE,+14534276279,N,2023-12-12,2030-02-02
cbb7d02a-b9a8-4231-975a-24b73b942807,93aa2751-b84b-459c-87cc-e2a49eb039ac,EMAIL,kelly05@example.org,Y,2020-11-26,2029-03-02
98c860c4-0712-4e2a-b942-7e4303644d09,93aa2751-b84b-459c-87cc-e2a49eb039ac,PHONE,+19939697816,N,2023-01-10,2026-10-29
736fb1d8-cc08-42b9-b182-ae80b7353d89,93aa2751-b84b-459c-87cc-e2a49eb039ac,EMAIL,rodriguezcorey@example.com,N,2021-08-13,2027-04-24
6b1a77a9-7065-4203-86d7-6d0a6d1e3959,2fd8547c-a991-41ac-a4a1-74c689cf68c6,EMAIL,smithrandall@example.org,Y,2021-08-13,2026-04-17
a0e7674e-c963-4806-9d4e-a46012617361,bde9da01-b7e2-43c9-9e0d-be551a19e978,EMAIL,emily48@example.net,Y,2024-12-14,2027-03-10
50faa069-d5d2-4d72-9945-7b4274317747,bde9da01-b7e2-43c9-9e0d-be551a19e978,PHONE,+11121544221,N,2021-09-15,2029-05-26
7f7ccaeb-b3bb-42e8-844c-23f161e643c1,983bbaa9-3369-45c5-8f17-a7ad7bc191fc,EMAIL,alexander11@example.com,Y,2020-05-17,2028-11-05
9965e6ea-9866-4231-983c-e76f3675513e,983bbaa9-3369-45c5-8f17-a7ad7bc191fc,PHONE,+18906406529,N,2024-03-15,2026-07-20
a6136d19-a882-46fe-a5c5-382a8f275baf,983bbaa9-3369-45c5-8f17-a7ad7bc191fc,EMAIL,francisco83@example.net,N,2023-03-06,2028-04-21
eedd8c4a-17ac-4375-80fa-cac7585198e8,a68ff15e-3c84-4395-a46e-a3e69c05c57a,EMAIL,gwilson@example.net,Y,2020-08-21,2027-05-05
e0ecb4d9-ff3e-4c45-9772-8c71ad643713,a68ff15e-3c84-4395-a46e-a3e69c05c57a,PHONE,+16390184904,N,2023-10-30,2029-12-19
c9334bff-519b-4525-b1c4-1c9baca5a40f,657bec27-8508-4ff7-9dc7-d7b91c02b969,EMAIL,ubrown@example.org,Y,2023-11-06,2028-02-10
ec16fb59-820d-4196-ab41-dd7f075931c5,657bec27-8508-4ff7-9dc7-d7b91c02b969,PHONE,+12604768911,N,2022-03-20,2029-12-20
a878749b-a802-4b63-b115-e1ac096f2166,cb645ffb-4b49-4f72-b349-dff0df788484,EMAIL,thomasstanley@example.com,Y,2020-05-03,2026-12-17
e3d3cd3a-94b2-44eb-9810-824fff74e4ef,c0d14153-7301-4fb7-a75c-a10250168e0a,EMAIL,juliaturner@example.org,Y,2021-02-17,2027-03-08
5e185798-b729-4ed3-bb94-9a80c9af5fd4,c0d14153-7301-4fb7-a75c-a10250168e0a,PHONE,+11245463496,N,2023-02-04,2028-02-19
d750922d-d34e-481a-aeaf-f54d06340939,6001b28a-651f-478f-8b36-bf153d5acfc1,EMAIL,allenmelissa@example.com,Y,2024-10-12,2027-02-08
a2218aec-7aa0-49d7-9efc-cded0ac6945f,f23284dd-a697-4656-bf53-08c7b0ac2eff,EMAIL,longalexis@example.org,Y,2022-09-08,2026-04-02
7782176a-cf3d-4e0d-9bce-d763b8c07597,746cd5c2-1d83-4a45-9c70-adf0ce9f823f,EMAIL,bwhite@example.com,Y,2024-01-06,2026-07-15
07f92579-1111-48ff-b8dc-3ae266350bd8,044a961d-f43a-4122-ac83-6afdbe9421eb,EMAIL,rosalesthomas@example.com,Y,2021-09-24,2026-06-05
2d706dda-7e09-4a74-86f0-9a1a082e8001,e1b77e60-7764-40ce-8dc0-a6889a9ba079,EMAIL,quinnkenneth@example.com,Y,2024-12-05,2029-07-10
b940ad03-472e-454a-9374-662419660fab,e1b77e60-7764-40ce-8dc0-a6889a9ba079,PHONE,+10722726173,N,2023-09-07,2026-12-12
319dfa38-d867-4d55-ab75-5a8059c1c1ca,eb6ad672-7bd2-4ace-a466-96bf4ef34b4c,EMAIL,ndavis@example.com,Y,2021-11-18,2028-03-07
fa0e98d6-4a57-49cd-8a51-2e9b4fd61227,eb6ad672-7bd2-4ace-a466-96bf4ef34b4c,PHONE,+11122498430,N,2021-10-30,2027-08-22
397cf85f-ca8d-4c29-9322-897d7f713eea,6d613535-d612-433b-a6a1-ce466953a659,EMAIL,sarahshah@example.net,Y,2020-10-30,2029-10-27
03a13838-f0e7-4893-859a-94d1ada3b782,6d613535-d612-433b-a6a1-ce466953a659,PHONE,+11225519404,N,2021-01-06,2028-04-07
1d2c3948-1050-4eff-8208-89bec31c0348,869278e6-c8e9-4d26-abe2-2b6af855f053,EMAIL,vanessakramer@example.net,Y,2022-08-28,2029-05-22
0d924c87-3543-494f-ad8c-0d7653c7e22e,869278e6-c8e9-4d26-abe2-2b6af855f053,PHONE,+12207344284,N,2023-10-31,2026-07-04
99533f9d-ff7b-4902-9569-f12cf4c693f1,32bc5f50-8a4b-4901-9866-89ad89451854,EMAIL,jessicareese@example.net,Y,2025-03-04,2029-01-16
9027e263-1017-43c2-94ff-31cf922f4721,32bc5f50-8a4b-4901-9866-89ad89451854,PHONE,+10452988449,N,2022-04-11,2029-09-20
56bbe23b-e34c-42db-bc44-5f1ff4adbac5,32bc5f50-8a4b-4901-9866-89ad89451854,EMAIL,barnesangela@example.net,N,2021-11-06,2028-08-16
d30b11b1-8144-4cdb-8fe3-bbdf3d74da02,f19c07af-8752-4222-b7e7-8bb13eff3801,EMAIL,terrigray@example.com,Y,2025-02-13,2028-04-07
3b6c190e-ff80-4035-af8c-73eab33b1df4,f19c07af-8752-4222-b7e7-8bb13eff3801,PHONE,+14186277792,N,2021-08-22,2027-07-16
1164ab80-8a54-4023-92d6-f7b8e93ca313,f4307057-0c21-4519-be95-4a604d08814f,EMAIL,kgordon@example.net,Y,2023-10-23,2028-08-25
1a53ed03-f567-4eba-b6de-bf55735adbee,f4307057-0c21-4519-be95-4a604d08814f,PHONE,+17178618142,N,2022-02-03,2029-02-09
38d45e61-c630-4d25-a26c-398076dd349d,f4307057-0c21-4519-be95-4a604d08814f,PHONE,+19833260343,N,2022-10-28,2028-08-24
f7a04600-a83b-4dfb-8ead-1e35a0cc8630,1fc75ce0-ba05-4054-b1ec-4d66d67ef516,EMAIL,davidbates@example.org,Y,2021-10-05,2029-10-29
4cf04386-1373-4fa4-a976-607028191c53,1fc75ce0-ba05-4054-b1ec-4d66d67ef516,PHONE,+15581780551,N,2024-07-17,2026-10-10
fc42b312-3e88-4c18-a264-2dc4fea1c0c8,8ffb7369-776a-491c-bd19-dd3264d1f5fc,EMAIL,lisaleon@example.com,Y,2024-07-17,2028-06-15
14127372-e21c-4c41-b4e0-990c128eddaf,8ffb7369-776a-491c-bd19-dd3264d1f5fc,PHONE,+18772214033,N,2022-02-24,2027-08-10
b1438f61-578e-46bf-983a-f2108a8d5a64,bf126071-6691-45dc-bc15-e105083ea848,EMAIL,xmcdaniel@example.net,Y,2020-03-28,2029-12-25
dc094236-561d-4db3-b06c-510963113f6c,b208014c-a034-4ff9-91c3-f395a9682e96,EMAIL,mkim@example.net,Y,2024-02-19,2028-09-28
d78ef8ab-076a-49af-946d-16a3aa20e11a,b208014c-a034-4ff9-91c3-f395a9682e96,PHONE,+18898984449,N,2024-10-14,2029-03-02
a21baec0-58b7-487a-8d65-6c81cc6f3c16,b208014c-a034-4ff9-91c3-f395a9682e96,PHONE,+12605520632,N,2024-07-19,2027-08-13
bf057c75-12fc-4ca5-aa2e-322452e4ce07,9754ed37-53fc-4d3d-a646-ec39f18ce9e0,EMAIL,rboyd@example.net,Y,2023-09-26,2027-08-28
16ae27c9-7d0b-4565-b01c-2e5f9833bbf6,9754ed37-53fc-4d3d-a646-ec39f18ce9e0,PHONE,+12663464773,N,2021-11-10,2027-10-21
b94e977f-e0e4-460c-868a-d99a0c229b37,35434f30-920a-44d1-a85b-8587fe4e4ee4,EMAIL,mshannon@example.org,Y,2022-01-16,2027-06-09
e6b64c21-785d-4f4e-aa13-955e1a83a700,35434f30-920a-44d1-a85b-8587fe4e4ee4,PHONE,+17554537269,N,2020-08-03,2028-11-08
cd81df2f-9001-4b43-926a-82df4194f0f4,35434f30-920a-44d1-a85b-8587fe4e4ee4,PHONE,+17125339299,N,2025-02-05,2026-09-30
fe7aeb8c-a8ef-4734-add3-d950fc6cd7e0,3239c5c7-56f6-4984-993e-f698e7ea349d,EMAIL,fischersummer@example.org,Y,2021-10-18,2026-12-17
723eae25-789d-4cbc-8dd9-f551bd9862f6,3239c5c7-56f6-4984-993e-f698e7ea349d,PHONE,+19018066607,N,2021-02-04,2029-08-09
e05b358b-6603-487b-903f-fdde8619900b,3239c5c7-56f6-4984-993e-f698e7ea349d,PHONE,+14274995784,N,2024-12-24,2028-12-12
6f377516-59fb-41ce-b362-4d7d70aa708e,8320bf80-4342-4448-9ffc-05951515e688,EMAIL,juliesims@example.com,Y,2023-12-26,2028-07-19
c0e7dd66-b3f1-45bd-9678-8bac0103ba56,9c56a992-ac0b-4518-a093-06e3af904eb7,EMAIL,smithmark@example.net,Y,2022-02-25,2026-11-24
7f3dd40a-229b-405d-899e-363cea431990,9c56a992-ac0b-4518-a093-06e3af904eb7,PHONE,+13183903021,N,2022-02-21,2029-02-12
b4d089b0-fb37-4114-8bee-160d2e828ad1,9c56a992-ac0b-4518-a093-06e3af904eb7,EMAIL,danielfletcher@example.org,N,2022-09-24,2026-10-12
3c5a0a00-8f33-483e-93fe-ab42fe9e008d,14cd6f5c-25e8-493d-92e2-635e466b408a,EMAIL,arthurrivera@example.org,Y,2020-04-16,2029-06-09
32f725d2-1be5-49d4-b526-631e30bed596,14cd6f5c-25e8-493d-92e2-635e466b408a,PHONE,+15151604561,N,2023-04-22,2026-04-01
8af9e13b-9c51-4231-8950-170280bd4519,8e8043fd-4835-4ea8-bae1-0a1e0f3f8dee,EMAIL,daviddavis@example.com,Y,2022-11-17,2028-02-02
73e7c976-a202-41bc-8aaa-2ab902a391f7,8e8043fd-4835-4ea8-bae1-0a1e0f3f8dee,PHONE,+11469278818,N,2023-07-26,2026-09-29
0b95e3f8-4b8f-4b2d-a68a-4b820edd5e31,8e8043fd-4835-4ea8-bae1-0a1e0f3f8dee,PHONE,+16187247369,N,2024-09-05,2026-07-06
235afe8c-0233-4d91-a9c7-d01af5332e85,5719b521-72ca-4092-89ac-f0443f8ba078,EMAIL,thomas00@example.com,Y,2023-09-30,2028-01-24
3951439a-2d41-469d-a3fa-fe69268de5c9,720b0c1c-fec8-4779-b8de-adbfdb94a062,EMAIL,martinkelley@example.org,Y,2023-02-23,2027-07-01
c8bb7295-3d62-43d2-b34a-eaa70034aaf1,0b84323b-fe1f-4070-840c-1aab0f90a42e,EMAIL,xanderson@example.net,Y,2022-12-26,2027-09-24
d28990ea-59d5-4da8-a3ed-eee9209a272e,0b84323b-fe1f-4070-840c-1aab0f90a42e,PHONE,+17479411394,N,2020-05-25,2028-12-27
e3057b35-8630-4191-9523-5f53eb6b750a,a650e2dd-6925-4bc2-887f-81c95552554b,EMAIL,adamsderrick@example.org,Y,2023-12-08,2028-07-01
2211056d-b9cd-42c8-9543-bee696910dfc,d65885ac-7500-44bd-b73f-152ad10e940d,EMAIL,marilynfreeman@example.net,Y,2020-07-06,2028-09-25
dad3979e-0031-40c0-ad81-04ff5f80ed4c,d65885ac-7500-44bd-b73f-152ad10e940d,PHONE,+13304838607,N,2024-10-11,2028-04-21
2d619841-ded0-4064-a2d4-5e7d29b051fd,b8934ef8-10fc-4496-87b1-4267d7a86bba,EMAIL,jacobruiz@example.org,Y,2023-11-04,2028-11-05
ec2ab668-0864-4432-9256-78978dd809b4,e793bca2-c2c2-4384-b4b0-b989013fbe17,EMAIL,parkerjennifer@example.net,Y,2022-11-22,2026-04-14
9b37458c-f7b8-4f45-9fa4-c1c96f3c111b,e793bca2-c2c2-4384-b4b0-b989013fbe17,PHONE,+16325475055,N,2023-08-03,2027-03-24
3090d333-339b-4552-8a11-dea1edfd5fc4,755d8079-702a-4cd0-acb3-54432e900bac,EMAIL,obrienkenneth@example.org,Y,2020-10-16,2029-06-17
7d9417bd-f3de-4e18-a886-3e97289ecbf0,755d8079-702a-4cd0-acb3-54432e900bac,PHONE,+14874660923,N,2022-07-29,2028-01-21
23fc8eb4-bb0f-4d29-ab41-d78556984271,755d8079-702a-4cd0-acb3-54432e900bac,EMAIL,jessicarogers@example.org,N,2025-02-22,2028-11-16
f250c1c2-ac8c-4ab8-9fa7-7c6f8aa9ae1f,3f50a371-3f01-4dbd-9481-880955db1546,EMAIL,frussell@example.com,Y,2021-05-11,2028-06-19
c231cf54-ae7a-4faf-bc45-d9fb482a7b4c,3f50a371-3f01-4dbd-9481-880955db1546,PHONE,+15285227362,N,2021-11-14,2027-03-28
5c4f7bfb-6bd9-4554-85bd-b21f911937be,3f50a371-3f01-4dbd-9481-880955db1546,PHONE,+16265206709,N,2023-09-06,2027-04-24
bba984c3-d421-4a39-8c38-3c502ed8d332,fe4483f7-94d1-4466-a402-f6f24ac1912e,EMAIL,michaelclarke@example.net,Y,2025-02-13,2026-04-22
dd093db2-db3f-46a8-ab96-50699a472bec,fe4483f7-94d1-4466-a402-f6f24ac1912e,PHONE,+15593442799,N,2020-12-21,2028-03-09
8c080c04-4487-4b8d-885a-75dd434b6276,e1664717-7591-4b35-b944-db1cd8823344,EMAIL,lindseymontgomery@example.org,Y,2024-11-02,2026-06-18
c60c8023-9a93-43fc-905d-517662bc4396,e1664717-7591-4b35-b944-db1cd8823344,PHONE,+13402622536,N,2023-07-17,2029-10-05
bc3f74fd-9d15-41fd-9cfd-5d0c6299b524,105ba572-bf8a-4ff1-a601-1f8bd03c55cb,EMAIL,isaac44@example.net,Y,2025-02-24,2027-11-02
930a1ca9-e0b3-49d4-b410-207fb5e17397,105ba572-bf8a-4ff1-a601-1f8bd03c55cb,PHONE,+18593452700,N,2024-03-03,2027-09-24
d2783281-3d1a-4156-a8f3-a7c37b450861,b232981b-b02c-4455-be92-c37eff771e49,EMAIL,peterbrooks@example.org,Y,2021-03-03,2028-01-12
ee140dbd-f0ca-47a2-8999-450d8645ab62,03960307-1c8a-416e-aba1-412ff3675fed,EMAIL,dhanson@example.com,Y,2021-03-08,2028-06-20
db283c9b-6646-4e39-a2f2-82a2cb2f7be1,85813b6a-37a5-44c8-91b3-0a5bcb68d0bc,EMAIL,teresathompson@example.net,Y,2021-02-07,2027-10-21
45c0eaaf-17cc-45d6-9bec-6bcec2960f07,975b25fb-7d77-4553-a88b-41f2d5925957,EMAIL,udiaz@example.org,Y,2023-10-09,2027-11-30
ba81fab5-bf27-4305-af9e-f7d52876c2d4,975b25fb-7d77-4553-a88b-41f2d5925957,PHONE,+13524219098,N,2024-03-20,2027-05-16
7c7b99b3-f0ee-4652-a75c-49afe20904ea,975b25fb-7d77-4553-a88b-41f2d5925957,PHONE,+12912410678,N,2021-11-13,2026-07-31
02005679-5a76-4561-a1fb-e690088de92f,ea5c6333-7f13-4e66-bcb6-5c57441d2e8d,EMAIL,mcurry@example.com,Y,2023-09-01,2028-10-03
760bc55b-d791-4880-989e-2d25da41c42a,ea5c6333-7f13-4e66-bcb6-5c57441d2e8d,PHONE,+19006970064,N,2021-06-22,2027-06-27
f6fc6118-7528-4b45-8a5b-e8880df6de5e,ae198da0-2c49-4190-a2da-eada21f24460,EMAIL,harrisonmichelle@example.net,Y,2024-09-25,2028-04-30
8c3ef7fd-9925-4643-b477-6bf982c05fd0,ae198da0-2c49-4190-a2da-eada21f24460,PHONE,+14662334191,N,2020-04-02,2029-11-13
490ad170-04c7-471a-b45d-1dfd2fc6948f,1b961932-d5a2-4f05-aeef-df18e13b96ca,EMAIL,nguyenlaura@example.org,Y,2022-08-24,2027-01-21
fe37cb29-2754-4aff-a0f6-f6ece2f97d43,6da3b24f-cb7b-4ce2-9039-486ae1a1349a,EMAIL,annettehall@example.com,Y,2021-12-18,2028-10-07
c43ffdf6-5975-4061-b7e7-f86d42ded642,6da3b24f-cb7b-4ce2-9039-486ae1a1349a,PHONE,+10583130773,N,2022-11-09,2026-04-06
828fff95-e544-4612-9ff6-9b9aff03af77,cedb3cab-c122-455b-8388-3d2a5ec3fdf5,EMAIL,diazrobert@example.net,Y,2024-04-12,2027-04-07
222a7e08-2897-4cdf-8d2c-d10a02c439a0,355f8207-3b3a-4980-9640-15f5350fcc40,EMAIL,pwilliams@example.net,Y,2024-10-01,2028-07-23
8f4e6f26-4968-448c-8f65-5adae374cb94,355f8207-3b3a-4980-9640-15f5350fcc40,PHONE,+19268371918,N,2024-05-06,2028-10-14
a0798623-daec-4706-bdec-636d9a9f75b9,af1ebc8a-2fef-42bf-b7ef-51b752d5ce3a,EMAIL,christopher13@example.org,Y,2024-01-05,2027-01-12
326f6570-7bb4-493f-9581-35e9396d46bd,aec034b0-4e51-4354-987e-4628f527aabe,EMAIL,hicksdonna@example.com,Y,2020-11-06,2027-04-18
86802ea6-5d97-4b2b-ab68-beeb79ef86a8,aec034b0-4e51-4354-987e-4628f527aabe,PHONE,+11545649667,N,2020-09-29,2029-07-31
c91ff14d-d160-414d-92f1-7059045bf79d,6d2cd774-6735-474a-bf9a-901f1539361a,EMAIL,fgray@example.com,Y,2024-03-22,2027-05-13
5dfbe3be-9ab5-4448-a9bc-bc177405b1e7,87c4eee7-97e8-423d-a776-b7315120f871,EMAIL,hansenteresa@example.org,Y,2021-12-30,2026-11-22
ee8c314f-7ed5-44d1-8132-e7a989bf5f78,1ef629ed-baeb-4e09-a821-d90f99482a2e,EMAIL,erikburke@example.com,Y,2024-08-22,2029-06-26
d253c0da-a64b-40ee-b191-d27267264386,1ef629ed-baeb-4e09-a821-d90f99482a2e,PHONE,+16680845152,N,2022-12-10,2029-06-25
8c26448c-80d6-4aca-ad63-cdc1670ca544,1ef629ed-baeb-4e09-a821-d90f99482a2e,EMAIL,william00@example.net,N,2023-10-18,2027-05-10
b2fa5f71-1668-40cd-8fca-ecc43dbb3f30,05f60d74-6f7e-4d50-a638-943aeee8911c,EMAIL,meyerkathryn@example.com,Y,2024-07-18,2029-03-23
28c6c656-3eb0-40af-808a-5200f9d01255,05f60d74-6f7e-4d50-a638-943aeee8911c,PHONE,+17798488694,N,2021-06-01,2027-02-18
8d8c85f3-a474-470c-8511-13a6c91e56e4,7d6c026c-52b9-4c2f-99ea-d158055a40aa,EMAIL,wcarter@example.com,Y,2024-05-07,2026-10-29
e0a4e91a-092f-4b57-8d28-def02cdfd756,c53c9966-41d8-4d63-9ed7-2309526f6c0f,EMAIL,dannysellers@example.org,Y,2022-02-01,2028-01-16
6aba4c4f-f7af-436f-920e-3363030ee631,c53c9966-41d8-4d63-9ed7-2309526f6c0f,PHONE,+11174647105,N,2025-02-23,2028-06-02
dbcf82a6-3ce1-482d-ab24-b03471568695,b9af8093-ab11-4bb3-8c00-d040d1b5c919,EMAIL,nfrey@example.net,Y,2023-06-03,2028-03-20
68cb24dc-e954-4737-8e38-bfe523cc9847,b9af8093-ab11-4bb3-8c00-d040d1b5c919,PHONE,+10454917084,N,2022-01-23,2028-12-17
4b1038ed-731f-4917-b917-2a32710a8dcd,0ea72df7-8c6d-4120-9b7c-3a56883507f7,EMAIL,colemanelizabeth@example.org,Y,2021-04-30,2029-06-25
bafec234-a6f8-42d2-8c1b-44d5d8dff095,1855d96b-721d-4a07-bfb8-ab55a88d3593,EMAIL,smithlisa@example.org,Y,2023-09-06,2029-08-27
40a6b71b-6645-4809-be7e-445bf561001c,1855d96b-721d-4a07-bfb8-ab55a88d3593,PHONE,+13399653835,N,2021-12-10,2027-03-15
f4ed78d7-a7f1-4d78-9339-a2bec70b0ccb,540d8431-145e-4b3d-a708-6db7c953fdf6,EMAIL,victoranderson@example.com,Y,2022-06-21,2029-05-04
5f566c7f-9c9d-4318-b319-a334cbdae7d4,64bd71e0-c34d-4848-92ff-d6f1d194be57,EMAIL,james85@example.com,Y,2024-07-31,2029-03-03
90afcdfc-708a-4487-bdf7-3eb315e9c9cd,1c1510ad-8bbd-4002-9945-f1057b77df3d,EMAIL,dlara@example.net,Y,2024-01-09,2028-06-08
9d49408e-7614-4159-971f-eee0ba8d8a55,1c1510ad-8bbd-4002-9945-f1057b77df3d,PHONE,+16682200020,N,2023-01-25,2028-11-14
